CONT_ID,GENDER,AGE_YEARS,HIGHEST_EDU,ANNUAL_INVEST,ANNUAL_INCOME,ACTIVITY_LEVEL,CHURN,RECORD_ID
1009520370,1,63.23,4,0.0,13035.0,3,0,0
1009520380,1,58.51,1,0.0,18267.0,0,0,600
1009520390,0,31.1,2,111192.0,129276.0,2,0,1200
1009520400,0,49.84,1,0.0,17867.0,2,0,1800
1009520410,1,53.33,1,0.0,17576.0,1,0,2400
1009520420,1,47.72,3,90419.0,111569.0,5,0,3000
1009520430,0,48.46,2,11258.0,20142.0,1,1,3600
1009520440,0,34.38,1,0.0,33727.0,2,0,4200
1009520450,1,47.09,1,0.0,17678.0,2,0,4800
1009520460,1,41.47,1,0.0,20747.0,2,0,5400
1009520470,0,38.64,4,0.0,22684.0,1,0,6000
1009520480,0,79.02,4,0.0,18594.0,1,0,6600
1009520490,1,44.76,4,13635.0,31180.0,2,1,7200
1009520500,1,31.89,1,0.0,21980.0,1,0,7800
1009520510,1,68.35,1,0.0,20891.0,2,0,8400
1009520520,0,34.2,4,7088.0,38005.0,0,1,9000
1009520530,1,64.3,1,0.0,16650.0,1,0,9600
1009520540,0,57.29,2,5111.0,22438.0,1,1,10200
1009520550,0,57.83,4,9669.0,32600.0,2,0,10800
1009520560,0,26.76,1,0.0,17812.0,0,1,11400
1009520570,0,36.12,1,0.0,15069.0,3,0,12000
1009520580,0,36.13,4,0.0,15069.0,3,0,12600
1009520590,1,58.16,4,12402.0,34229.0,2,0,13200
1009520600,0,38.24,4,0.0,14419.0,3,0,13800
1009520610,0,47.58,1,0.0,29969.0,2,0,14400
1009520620,1,33.27,1,0.0,25313.0,2,0,15000
1009520630,1,57.32,2,11331.0,40597.0,3,0,15600
1009520640,1,43.5,4,0.0,13797.0,4,0,16200
1009520650,1,22.29,1,0.0,16832.0,2,1,16800
1009520660,1,72.78,1,0.0,19673.0,1,1,17400
1009520670,0,40.88,4,0.0,17312.0,2,0,18000
1009520680,1,62.07,1,0.0,17599.0,2,1,18600
1009520690,1,72.6,4,0.0,15869.0,4,0,19200
1009520700,1,53.22,4,11270.0,25854.0,3,0,19800
1009520710,1,86.16,1,0.0,15385.0,2,0,20400
1009520720,0,65.9,1,0.0,19061.0,4,0,21000
1009520730,1,35.43,2,11349.0,20414.0,0,1,21600
1009520740,0,34.27,1,0.0,37209.0,2,0,22200
1009520750,0,48.25,1,0.0,13119.0,1,0,22800
1009520760,0,44.8,1,0.0,20636.0,4,0,23400
1009520770,1,69.79,1,0.0,13770.0,1,0,24000
1009520780,0,70.56,1,0.0,28909.0,3,0,24600
1009520790,0,37.55,1,0.0,18751.0,4,0,25200
1009520800,1,72.76,2,97832.0,114646.0,1,1,25800
1009520810,1,24.39,2,14445.0,48558.0,1,1,26400
1009520820,0,68.03,4,0.0,20934.0,5,0,27000
1009520830,1,26.18,1,0.0,21760.0,2,0,27600
1009520840,1,27.23,4,0.0,17830.0,1,0,28200
1009520850,1,47.21,4,0.0,13868.0,2,0,28800
1009520860,0,69.81,1,0.0,19633.0,1,0,29400
1009520870,0,44.71,4,0.0,14840.0,1,1,30000
1009520880,0,34.55,1,0.0,36552.0,1,0,30600
1009520890,1,41.98,4,7462.0,45292.0,4,0,31200
1009520900,0,40.91,4,11939.0,33792.0,3,1,31800
1009520910,0,48.75,1,0.0,14530.0,1,0,32768
1009520920,0,22.24,2,104353.0,179889.0,1,1,33368
1009520930,0,32.06,4,10711.0,53390.0,2,0,33968
1009520940,0,47.44,4,0.0,15084.0,0,1,34568
1009520950,1,57.5,1,0.0,21237.0,1,0,35168
1009520960,0,27.34,2,116186.0,95416.0,3,0,35768
1009520970,1,45.73,4,0.0,21571.0,1,1,36368
1009520980,1,38.16,4,0.0,21987.0,2,0,36968
1009520990,0,75.03,1,0.0,19014.0,0,0,37568
1009521000,0,67.94,1,0.0,18710.0,0,1,38168
1009521010,1,26.19,4,0.0,15629.0,1,1,38768
1009521020,1,67.5,1,0.0,13616.0,0,0,39368
1009521030,0,60.83,4,13918.0,21219.0,1,0,39968
1009521040,0,61.51,4,0.0,19300.0,2,0,40568
1009521050,0,38.17,1,0.0,15615.0,4,0,41168
1009521060,1,64.13,1,0.0,14679.0,2,0,41768
1009521070,1,20.25,4,0.0,33618.0,4,0,42368
1009521080,0,30.15,1,0.0,17246.0,2,1,42968
1009521090,0,63.73,4,0.0,20591.0,2,0,43568
1009521100,0,46.93,1,0.0,22122.0,1,1,44168
1009521110,0,60.15,1,0.0,16780.0,1,0,44768
1009521120,0,54.7,4,0.0,18053.0,3,1,45368
1009521130,0,57.72,1,0.0,14946.0,2,0,45968
1009521140,1,23.82,3,92161.0,113216.0,2,0,46568
1009521150,1,41.01,2,9466.0,42029.0,2,0,47168
1009521160,0,52.39,1,0.0,21836.0,2,0,47768
1009521170,1,35.89,2,5002.0,56792.0,4,0,48368
1009521180,1,49.56,4,0.0,30067.0,1,0,48968
1009521190,0,54.99,2,116344.0,94841.0,1,0,49568
1009521200,0,39.86,4,0.0,19328.0,4,0,50168
1009521210,0,70.59,3,104031.0,88246.0,0,1,50768
1009521220,1,23.82,4,0.0,17105.0,2,1,51368
1009521230,0,40.11,4,0.0,24808.0,0,1,51968
1009521240,1,44.57,2,95907.0,106518.0,3,0,52568
1009521250,1,59.69,1,0.0,16058.0,2,0,53168
1009521260,1,42.73,4,11255.0,32400.0,1,1,53768
1009521270,1,84.61,1,0.0,18525.0,2,0,54368
1009521280,1,40.87,4,6718.0,29900.0,3,0,54968
1009521290,0,71.42,1,0.0,19360.0,1,0,55568
1009521300,1,29.7,1,0.0,36766.0,2,1,56168
1009521310,0,34.69,4,0.0,26797.0,2,0,56768
1009521320,0,46.87,1,0.0,14820.0,2,0,57368
1009521330,0,47.22,4,12536.0,39614.0,3,0,57968
1009521340,1,33.97,1,0.0,20997.0,1,1,58568
1009521350,0,48.19,1,0.0,17195.0,2,0,59168
1009521360,0,27.54,1,0.0,22912.0,4,1,59768
1009521370,1,58.44,1,0.0,20879.0,3,0,60368
1009521380,1,34.51,4,0.0,15729.0,1,1,60968
1009521390,1,59.78,1,0.0,18781.0,4,0,61568
1009521400,0,42.58,4,0.0,30808.0,3,0,62168
1009521410,1,44.55,3,114047.0,208174.0,5,0,62768
1009521420,0,29.69,4,0.0,16665.0,1,1,63368
1009521430,1,45.79,4,0.0,17249.0,0,1,63968
1009521440,1,68.29,4,5720.0,44768.0,1,0,64568
1009521450,0,30.16,4,0.0,37568.0,1,1,65536
1009521460,1,34.51,4,0.0,16335.0,2,0,66136
1009521470,1,74.35,1,0.0,33158.0,2,0,66736
1009521480,0,46.46,2,93613.0,137448.0,4,0,67336
1009521490,0,56.2,1,0.0,18199.0,1,0,67936
1009521500,0,62.79,1,0.0,15057.0,2,0,68536
1009521510,0,26.14,1,0.0,21531.0,4,0,69136
1009521520,0,55.13,4,0.0,16910.0,0,1,69736
1009521530,1,34.9,2,5096.0,77325.0,5,0,70336
1009521540,1,64.88,2,9447.0,52835.0,1,0,70936
1009521550,0,32.29,1,0.0,17648.0,2,0,71536
1009521560,0,30.01,1,0.0,18788.0,1,1,72136
1009521570,1,27.45,1,0.0,16848.0,2,1,72736
1009521580,0,52.37,4,0.0,18559.0,1,0,73336
1009521590,0,26.06,1,0.0,19931.0,2,0,73936
1009521600,0,36.57,4,0.0,29935.0,2,0,74536
1009521610,0,56.99,1,0.0,20834.0,5,0,75136
1009521620,0,70.08,1,0.0,21580.0,3,0,75736
1009521630,0,71.2,1,0.0,21315.0,0,0,76336
1009521640,0,38.27,1,0.0,32993.0,0,1,76936
